model,accuracy_mean,precision_mean,recall_mean,f1_mean
Dummy,0.7591753752640583,0.0,0.0,0.0
Random Forest,0.8477812099168389,0.7116046190137765,0.6185271037063866,0.6617184343953866
XGBoost,0.8668227993112467,0.754955355458549,0.6617268088729611,0.7052363052621886
